priority,priority_note,is_positive_control,control_name,molecule_chembl_id,molecule_pref_name,max_phase,canonical_smiles,rank_overall,potency_band,pactivity_median,pactivity_max,potency_nm_min,direction,has_efficacy_corroboration,efficacy_fold_max,efficacy_pct_max,evidence_level,n_assays,n_docs,flags,murcko_scaffold,scaffold_cluster_size,is_scaffold_representative
P1,首批：效力 ≥7.0，骨架代表，方向有实测效能读数支持,FALSE,,CHEMBL2022798,,,CC(C)=CCOc1cc(Oc2ccc(S(=O)(=O)C3CC3)cc2)cc(C(=O)Nc2nccs2)c1,65,≥7.5（EC50 ≤ 32 nM）,7.55,7.55,28.3,activation,TRUE,2.4,,中,3,1,,O=C(Nc1nccs1)c1cccc(Oc2ccc(S(=O)(=O)C3CC3)cc2)c1,3,TRUE
P1,首批：效力 ≥7.0，骨架代表，方向有实测效能读数支持,FALSE,,CHEMBL5076695,,,CCOP(=O)(Cn1ccc(NC(=O)c2cc(Oc3ccc(S(=O)(=O)CC)cc3)cc(OC(C)C)c2)n1)OCC,67,≥7.5（EC50 ≤ 32 nM）,7.55,7.55,28.0,activation,TRUE,,203.0,中,2,1,,O=C(Nc1cc[nH]n1)c1cccc(Oc2ccccc2)c1,12,TRUE
P1,首批：效力 ≥7.0，骨架代表，方向有实测效能读数支持,FALSE,,CHEMBL4101417,,,O=C(Nc1ncc(Cl)s1)[C@H](CC1CCOCC1)n1ncc2c(S(=O)(=O)C3CC3)cccc21,74,≥7.5（EC50 ≤ 32 nM）,7.51,7.51,31.0,activation,TRUE,,65.0,中,3,1,,O=C(Nc1nccs1)C(CC1CCOCC1)n1ncc2c(S(=O)(=O)C3CC3)cccc21,8,TRUE
P1,首批：效力 ≥7.0，骨架代表，方向有实测效能读数支持,FALSE,,CHEMBL596026,,,CCS(=O)(=O)c1ccc(Oc2cc3nc(-c4ccccn4)[nH]c3cc2CN2C(=O)COC2=O)cc1,102,7.0–7.5（32–100 nM）,7.375,7.7,20.0,activation,TRUE,1.08,,中,4,1,,O=C1COC(=O)N1Cc1cc2[nH]c(-c3ccccn3)nc2cc1Oc1ccccc1,1,TRUE
P1,首批：效力 ≥7.0，骨架代表，方向有实测效能读数支持,FALSE,,CHEMBL2023054,,,CC(C)=CCOc1cc(Oc2ccc(S(=O)(=O)N3CC[C@H](F)C3)cc2)cc(C(=O)Nc2ncc(F)s2)c1,104,7.0–7.5（32–100 nM）,7.35,7.35,44.8,activation,TRUE,2.2,,中,2,1,,O=C(Nc1nccs1)c1cccc(Oc2ccc(S(=O)(=O)N3CCCC3)cc2)c1,2,TRUE
P1,首批：效力 ≥7.0，骨架代表，方向有实测效能读数支持,FALSE,,CHEMBL2023432,,,CC(C)=CCOc1cc(Oc2ccc(S(=O)(=O)N3C[C@@H](C)O[C@@H](C)C3)cc2)cc(C(=O)Nc2cc(C)n(C)n2)c1,105,7.0–7.5（32–100 nM）,7.35,7.35,44.8,activation,TRUE,1.6,,中,2,1,,O=C(Nc1cc[nH]n1)c1cccc(Oc2ccc(S(=O)(=O)N3CCOCC3)cc2)c1,4,TRUE
P1,首批：效力 ≥7.0，骨架代表，方向有实测效能读数支持,FALSE,,CHEMBL584378,,,Cn1ccc(Nc2ncnc3ccc(Oc4ncccc4Br)cc23)n1,109,7.0–7.5（32–100 nM）,7.33,7.7,20.0,activation,TRUE,0.86,,中,4,1,,c1ccc(Oc2ccc3ncnc(Nc4cc[nH]n4)c3c2)nc1,6,TRUE
P1,首批：效力 ≥7.0，骨架代表，方向有实测效能读数支持,FALSE,,CHEMBL2022800,,,CC(C)=CCOc1cc(Oc2ccc(S(=O)(=O)N3CCOCC3)cc2)cc(C(=O)Nc2nccs2)c1,112,7.0–7.5（32–100 nM）,7.32,7.32,48.0,activation,TRUE,2.1,,中,2,1,,O=C(Nc1nccs1)c1cccc(Oc2ccc(S(=O)(=O)N3CCOCC3)cc2)c1,4,TRUE
P1,首批：效力 ≥7.0，骨架代表，方向有实测效能读数支持,FALSE,,CHEMBL5083525,,,CCOP(=O)(Cn1ncc(NC(=O)c2cc(Oc3ccc(S(C)(=O)=O)cc3)cc(O[C@@H](C)COC)c2)n1)OCC,118,7.0–7.5（32–100 nM）,7.31,7.31,49.0,activation,TRUE,,256.0,中,2,1,,O=C(Nc1cn[nH]n1)c1cccc(Oc2ccccc2)c1,1,TRUE
P1,首批：效力 ≥7.0，骨架代表，方向有实测效能读数支持,FALSE,,CHEMBL1165284,,,O=C(Nc1nc2c(s1)CCCC2)C(CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,149,7.0–7.5（32–100 nM）,7.21,7.21,61.0,activation,TRUE,2.27,,中,2,1,,O=C(Nc1nc2c(s1)CCCC2)C(CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,2,TRUE
