molecule_chembl_id,molecule_pref_name,assay_chembl_id,activity_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,metric_role,metric_scale,value_nm,pactivity,role_rule,glucose_mM_parsed,activity_comment,potential_duplicate,doc_chembl_id,doc_year,src_short_name,assay_description
CHEMBL1096435,Ro-281675,CHEMBL2412837,13387385,Activity,=,30,%,,unclassified,,,,Activity 为自由文本指标（无官方标准化规则），assay 描述未命中提升门槛，不跨实验汇总,200,,0,CHEMBL2406951,2013,LITERATURE,Allosteric activation of recombinant wild-type human pancreatic glucokinase expressed in Escherichia coli K-12 assessed as increase in glucose kcat by enzyme-kinetic study in presence of 200 mM glucose
CHEMBL1096435,Ro-281675,CHEMBL2412840,13387393,Activity,,,,,unclassified,,,,Activity 为自由文本指标（无官方标准化规则），assay 描述未命中提升门槛，不跨实验汇总,,,0,CHEMBL2406951,2013,LITERATURE,Allosteric activation of recombinant wild-type human pancreatic glucokinase expressed in Escherichia coli K-12 assessed as reduction in transition time at 20 uM by spectrophotometry in absence of glucose
CHEMBL1096435,Ro-281675,CHEMBL2412842,13387390,Activity,,,,,unclassified,,,,Activity 为自由文本指标（无官方标准化规则），assay 描述未命中提升门槛，不跨实验汇总,,,0,CHEMBL2406951,2013,LITERATURE,Allosteric activation of recombinant wild-type human pancreatic glucokinase expressed in Escherichia coli K-12 assessed as reduction in lag of transient-state enzyme progress curve at 25 to 100 uM by spectrophotometry in absence of glucose
CHEMBL1096435,Ro-281675,CHEMBL3223666,14533402,EC50,=,334,nM,6.48,potency,concentration,334.0,6.48,EC50 为标准化浓度型效力指标,,,0,CHEMBL3217627,2011,LITERATURE,Activation of recombinant human glucokinase assessed as formation of glucose-6-phosphate by G6PDH/NADP coupled assay
CHEMBL1164184,,CHEMBL1167927,3330505,EC50,=,89,nM,7.05,potency,concentration,89.0,7.05,EC50 为标准化浓度型效力指标,,,0,CHEMBL1165956,2010,LITERATURE,Activation of human glucokinase expressed in Escherichia coli BL21(DE3) coexpressing G6PDH by spectrometry
CHEMBL1164184,,CHEMBL1167928,3330483,FC,=,4.6,,,efficacy,fold,,,FC（fold change）为激活倍数,,,0,CHEMBL1165956,2010,LITERATURE,Activation of human glucokinase expressed in Escherichia coli BL21(DE3) coexpressing G6PDH by spectrometry relative to control
CHEMBL1164184,,CHEMBL3225185,14538034,EC50,=,89,nM,7.05,potency,concentration,89.0,7.05,EC50 为标准化浓度型效力指标,,,1,CHEMBL3217569,2011,LITERATURE,Activation of recombinant human His6-tagged glucokinase by G6PDH-coupled spectrophotometry
CHEMBL1164268,,CHEMBL1167927,3330503,EC50,=,1000,nM,6,potency,concentration,1000.0,6.0,EC50 为标准化浓度型效力指标,,,0,CHEMBL1165956,2010,LITERATURE,Activation of human glucokinase expressed in Escherichia coli BL21(DE3) coexpressing G6PDH by spectrometry
CHEMBL1164268,,CHEMBL1167928,3330481,FC,=,2.17,,,efficacy,fold,,,FC（fold change）为激活倍数,,,0,CHEMBL1165956,2010,LITERATURE,Activation of human glucokinase expressed in Escherichia coli BL21(DE3) coexpressing G6PDH by spectrometry relative to control
CHEMBL1164315,,CHEMBL1167927,3330501,EC50,=,355,nM,6.45,potency,concentration,355.0,6.45,EC50 为标准化浓度型效力指标,,,0,CHEMBL1165956,2010,LITERATURE,Activation of human glucokinase expressed in Escherichia coli BL21(DE3) coexpressing G6PDH by spectrometry
CHEMBL1164315,,CHEMBL1167928,3330479,FC,=,2.05,,,efficacy,fold,,,FC（fold change）为激活倍数,,,0,CHEMBL1165956,2010,LITERATURE,Activation of human glucokinase expressed in Escherichia coli BL21(DE3) coexpressing G6PDH by spectrometry relative to control
CHEMBL1164323,,CHEMBL1167927,3330498,EC50,=,724,nM,6.14,potency,concentration,724.0,6.14,EC50 为标准化浓度型效力指标,,,0,CHEMBL1165956,2010,LITERATURE,Activation of human glucokinase expressed in Escherichia coli BL21(DE3) coexpressing G6PDH by spectrometry
