molecule_chembl_id,molecule_pref_name,molecule_type,max_phase,canonical_smiles,standard_inchi_key,n_potency_records,potency_types,potency_nm_min,potency_nm_median,potency_nm_max,pactivity_max,pactivity_median,pactivity_min,pactivity_spread,n_potency_censored_gt,potency_censored_gt_min_nm,n_potency_censored_lt,potency_n_assays,potency_n_docs,potency_records,n_efficacy_records,efficacy_fold_max,efficacy_fold_max_source,n_efficacy_fold,efficacy_pct_max,efficacy_pct_max_source,n_efficacy_pct,efficacy_n_assays,efficacy_n_docs,efficacy_records,n_kinetic_records,kinetic_records,n_unclassified_records,unclassified_records,n_activities,n_assays,n_docs,doc_chembl_ids,doc_years,src_short_names,n_potential_duplicate,evidence_consistency,evidence_level,evidence_note
CHEMBL575055,,Small molecule,,COc1ccc2nc(NC(=O)C(CC3CCCC3)c3ccc(S(=O)(=O)N(C)Cc4ccco4)cc3)sc2n1,HYJRDIDWEFMXIE-UHFFFAOYSA-N,1,Activity:1,109.0,109.0,109.0,6.96,6.96,6.96,,0,,0,1,1,"[{""assay"": ""CHEMBL1053631"", ""type"": ""Activity"", ""relation"": ""="", ""value_nm"": 109.0, ""pactivity"": 6.96, ""doc"": ""CHEMBL1155225"", ""rule"": ""自由文本指标 Activity 受限提升为效力，描述命中：「half-maximal activat」""}]",0,,,0,,,0,0,0,,0,,0,,1,1,1,"[""CHEMBL1155225""]",2009,LITERATURE,0,不适用（可定量效力值不足 2 个 assay）,弱,仅 1 篇文献支撑
CHEMBL575057,,Small molecule,,COc1ccc2nc(NC(=O)C(CC3CCCC3)c3ccc(S(=O)(=O)NCCC(=O)O)cc3)sc2n1,ZVHJDDHGLAAUHM-UHFFFAOYSA-N,1,Activity:1,2810.0,2810.0,2810.0,5.55,5.55,5.55,,0,,0,1,1,"[{""assay"": ""CHEMBL1053631"", ""type"": ""Activity"", ""relation"": ""="", ""value_nm"": 2810.0, ""pactivity"": 5.55, ""doc"": ""CHEMBL1155225"", ""rule"": ""自由文本指标 Activity 受限提升为效力，描述命中：「half-maximal activat」""}]",0,,,0,,,0,0,0,,0,,0,,1,1,1,"[""CHEMBL1155225""]",2009,LITERATURE,0,不适用（可定量效力值不足 2 个 assay）,弱,仅 1 篇文献支撑
CHEMBL575067,,Small molecule,,Cn1ccc(Nc2ncnc3ccc(Oc4ccccc4S(C)(=O)=O)cc23)n1,HNSNAZPWBJZUIR-UHFFFAOYSA-N,2,EC50:2,80.0,305.0,530.0,7.1,6.69,6.28,0.82,0,,0,2,1,"[{""assay"": ""CHEMBL1056161"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 530.0, ""pactivity"": 6.28, ""doc"": ""CHEMBL1155212"", ""rule"": ""EC50 为标准化浓度型效力指标""}, {""assay"": ""CHEMBL1056163"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 80.0, ""pactivity"": 7.1, ""doc"": ""CHEMBL1155212"", ""rule"": ""EC50 为标准化浓度型效力指标""}]",2,0.76,Emax@CHEMBL1056162,2,,,0,2,1,"[{""assay"": ""CHEMBL1056162"", ""type"": ""Emax"", ""scale"": ""fold"", ""value"": 0.76, ""units"": null, ""doc"": ""CHEMBL1155212"", ""rule"": ""Emax 为激活幅度指标，按该 assay 内值域（max=1.1）判为 fold 尺度""}, {""assay"": ""CHEMBL1056164"", ""type"": ""Emax"", ""scale"": ""fold"", ""value"": 0.76, ""units"": null, ""doc"": ""CHEMBL1155212"", ""rule"": ""Emax 为激活幅度指标，按该 assay 内值域（max=1.1）判为 fold 尺度""}]",0,,0,,4,4,1,"[""CHEMBL1155212""]",2009,LITERATURE,0,较一致（pActivity 极差 0.82，10 倍以内）,中,仅 1 篇文献支撑
CHEMBL575069,,Small molecule,,CCCCN(CCCC)S(=O)(=O)c1ccc(C(CC2CCCC2)C(=O)Nc2nc3ccc(OC)nc3s2)cc1,XYZNQKSZWPWKJH-UHFFFAOYSA-N,1,Activity:1,181.0,181.0,181.0,6.74,6.74,6.74,,0,,0,1,1,"[{""assay"": ""CHEMBL1053631"", ""type"": ""Activity"", ""relation"": ""="", ""value_nm"": 181.0, ""pactivity"": 6.74, ""doc"": ""CHEMBL1155225"", ""rule"": ""自由文本指标 Activity 受限提升为效力，描述命中：「half-maximal activat」""}]",0,,,0,,,0,0,0,,0,,0,,1,1,1,"[""CHEMBL1155225""]",2009,LITERATURE,0,不适用（可定量效力值不足 2 个 assay）,弱,仅 1 篇文献支撑
CHEMBL575087,,Small molecule,,Cn1ccc(Nc2ncnc3ccc(Oc4c(F)cccc4F)cc23)n1,IASPBPPPOAHMMS-UHFFFAOYSA-N,2,EC50:2,30.0,60.0,90.0,7.52,7.285,7.05,0.47,0,,0,2,1,"[{""assay"": ""CHEMBL1056161"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 90.0, ""pactivity"": 7.05, ""doc"": ""CHEMBL1155212"", ""rule"": ""EC50 为标准化浓度型效力指标""}, {""assay"": ""CHEMBL1056163"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 30.0, ""pactivity"": 7.52, ""doc"": ""CHEMBL1155212"", ""rule"": ""EC50 为标准化浓度型效力指标""}]",2,0.96,Emax@CHEMBL1056162,2,,,0,2,1,"[{""assay"": ""CHEMBL1056162"", ""type"": ""Emax"", ""scale"": ""fold"", ""value"": 0.96, ""units"": null, ""doc"": ""CHEMBL1155212"", ""rule"": ""Emax 为激活幅度指标，按该 assay 内值域（max=1.1）判为 fold 尺度""}, {""assay"": ""CHEMBL1056164"", ""type"": ""Emax"", ""scale"": ""fold"", ""value"": 0.84, ""units"": null, ""doc"": ""CHEMBL1155212"", ""rule"": ""Emax 为激活幅度指标，按该 assay 内值域（max=1.1）判为 fold 尺度""}]",0,,0,,4,4,1,"[""CHEMBL1155212""]",2009,LITERATURE,0,一致（pActivity 极差 0.47，3 倍以内）,中,仅 1 篇文献支撑
CHEMBL575088,,Small molecule,,CS(=O)(=O)c1cccc(F)c1Oc1ccc2ncnc(Nc3cc[nH]n3)c2c1,RXGYMTMITMREME-UHFFFAOYSA-N,2,EC50:2,40.0,80.0,120.0,7.4,7.16,6.92,0.48,0,,0,2,1,"[{""assay"": ""CHEMBL1056161"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 120.0, ""pactivity"": 6.92, ""doc"": ""CHEMBL1155212"", ""rule"": ""EC50 为标准化浓度型效力指标""}, {""assay"": ""CHEMBL1056163"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 40.0, ""pactivity"": 7.4, ""doc"": ""CHEMBL1155212"", ""rule"": ""EC50 为标准化浓度型效力指标""}]",2,0.76,Emax@CHEMBL1056162,2,,,0,2,1,"[{""assay"": ""CHEMBL1056162"", ""type"": ""Emax"", ""scale"": ""fold"", ""value"": 0.76, ""units"": null, ""doc"": ""CHEMBL1155212"", ""rule"": ""Emax 为激活幅度指标，按该 assay 内值域（max=1.1）判为 fold 尺度""}, {""assay"": ""CHEMBL1056164"", ""type"": ""Emax"", ""scale"": ""fold"", ""value"": 0.62, ""units"": null, ""doc"": ""CHEMBL1155212"", ""rule"": ""Emax 为激活幅度指标，按该 assay 内值域（max=1.1）判为 fold 尺度""}]",0,,0,,4,4,1,"[""CHEMBL1155212""]",2009,LITERATURE,0,一致（pActivity 极差 0.48，3 倍以内）,中,仅 1 篇文献支撑
CHEMBL575091,,Small molecule,,COc1ccc2nc(NC(=O)C(CC3CCCC3)c3ccc(S(=O)(=O)N(C)Cc4ccccc4)cc3)sc2n1,WMAFUOVYGLDQIV-UHFFFAOYSA-N,1,Activity:1,263.0,263.0,263.0,6.58,6.58,6.58,,0,,0,1,1,"[{""assay"": ""CHEMBL1053631"", ""type"": ""Activity"", ""relation"": ""="", ""value_nm"": 263.0, ""pactivity"": 6.58, ""doc"": ""CHEMBL1155225"", ""rule"": ""自由文本指标 Activity 受限提升为效力，描述命中：「half-maximal activat」""}]",0,,,0,,,0,0,0,,0,,0,,1,1,1,"[""CHEMBL1155225""]",2009,LITERATURE,0,不适用（可定量效力值不足 2 个 assay）,弱,仅 1 篇文献支撑
CHEMBL575096,,Small molecule,,COc1ccc2nc(NC(=O)C(CC3CCCC3)c3ccc(S(=O)(=O)N(C)Cc4nccn4C)cc3)sc2n1,BACSXTCCSDYWQS-UHFFFAOYSA-N,1,Activity:1,66.0,66.0,66.0,7.18,7.18,7.18,,0,,0,1,1,"[{""assay"": ""CHEMBL1053631"", ""type"": ""Activity"", ""relation"": ""="", ""value_nm"": 66.0, ""pactivity"": 7.18, ""doc"": ""CHEMBL1155225"", ""rule"": ""自由文本指标 Activity 受限提升为效力，描述命中：「half-maximal activat」""}]",0,,,0,,,0,0,0,,0,,0,,1,1,1,"[""CHEMBL1155225""]",2009,LITERATURE,0,不适用（可定量效力值不足 2 个 assay）,弱,仅 1 篇文献支撑
CHEMBL575278,,Small molecule,,Cn1ccc(Nc2ncnc3ccc(Oc4ncccc4CO)cc23)n1,UVCGNRRZRNVRSI-UHFFFAOYSA-N,2,EC50:2,150.0,825.0,1500.0,6.82,6.32,5.82,1.0,0,,0,2,1,"[{""assay"": ""CHEMBL1056161"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 1500.0, ""pactivity"": 5.82, ""doc"": ""CHEMBL1155212"", ""rule"": ""EC50 为标准化浓度型效力指标""}, {""assay"": ""CHEMBL1056163"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 150.0, ""pactivity"": 6.82, ""doc"": ""CHEMBL1155212"", ""rule"": ""EC50 为标准化浓度型效力指标""}]",2,0.81,Emax@CHEMBL1056162,2,,,0,2,1,"[{""assay"": ""CHEMBL1056162"", ""type"": ""Emax"", ""scale"": ""fold"", ""value"": 0.81, ""units"": null, ""doc"": ""CHEMBL1155212"", ""rule"": ""Emax 为激活幅度指标，按该 assay 内值域（max=1.1）判为 fold 尺度""}, {""assay"": ""CHEMBL1056164"", ""type"": ""Emax"", ""scale"": ""fold"", ""value"": 0.74, ""units"": null, ""doc"": ""CHEMBL1155212"", ""rule"": ""Emax 为激活幅度指标，按该 assay 内值域（max=1.1）判为 fold 尺度""}]",0,,0,,4,4,1,"[""CHEMBL1155212""]",2009,LITERATURE,0,较一致（pActivity 极差 1.0，10 倍以内）,中,仅 1 篇文献支撑
CHEMBL575298,,Small molecule,,Cn1ccc(Nc2ncnc3ccc(Oc4c(F)cccc4S(C)(=O)=O)cc23)n1,ISEKBEAABDINBR-UHFFFAOYSA-N,2,EC50:2,40.0,90.0,140.0,7.4,7.125,6.85,0.55,0,,0,2,1,"[{""assay"": ""CHEMBL1056161"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 140.0, ""pactivity"": 6.85, ""doc"": ""CHEMBL1155212"", ""rule"": ""EC50 为标准化浓度型效力指标""}, {""assay"": ""CHEMBL1056163"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 40.0, ""pactivity"": 7.4, ""doc"": ""CHEMBL1155212"", ""rule"": ""EC50 为标准化浓度型效力指标""}]",2,0.88,Emax@CHEMBL1056162,2,,,0,2,1,"[{""assay"": ""CHEMBL1056162"", ""type"": ""Emax"", ""scale"": ""fold"", ""value"": 0.88, ""units"": null, ""doc"": ""CHEMBL1155212"", ""rule"": ""Emax 为激活幅度指标，按该 assay 内值域（max=1.1）判为 fold 尺度""}, {""assay"": ""CHEMBL1056164"", ""type"": ""Emax"", ""scale"": ""fold"", ""value"": 0.88, ""units"": null, ""doc"": ""CHEMBL1155212"", ""rule"": ""Emax 为激活幅度指标，按该 assay 内值域（max=1.1）判为 fold 尺度""}]",0,,0,,4,4,1,"[""CHEMBL1155212""]",2009,LITERATURE,0,较一致（pActivity 极差 0.55，10 倍以内）,中,仅 1 篇文献支撑
