molecule_chembl_id,molecule_pref_name,max_phase,first_approval,molecule_type,structure_type,source,activity_evidence,curated_direction,curated_mechanism,found_by_drug_annotation,parent_chembl_id,dedup_group,is_dedup_representative,is_salt,priority,potency_band,pactivity_median,potency_nm_min,direction,canonical_smiles,standard_inchi_key,mw_freebase,full_mwt,alogp,hba,hbd,psa,rtb,num_ro5_violations,aromatic_rings,heavy_atoms,qed_weighted,full_molformula,n_structural_alerts,structural_alert_sets,lle_max,murcko_scaffold,scaffold_cluster_size,is_scaffold_representative,is_positive_control,control_name
CHEMBL5076377,,,,Unknown,MOL,activity,TRUE,,,,CHEMBL5076377,CHEMBL5076377,TRUE,FALSE,P1,≥7.5（EC50 ≤ 32 nM）,7.6,25.0,activation,CCOP(=O)(Cn1ccc(NC(=O)c2cc(Oc3ccc(C(=O)N4CCC4)nc3)cc(OC(C)C)c2)n1)OCC,FPFGEPDLUGAUFH-UHFFFAOYSA-N,571.57,571.57,5.18,10,1,134.11,13,2,3,40,0.28,C27H34N5O7P,2,"[""Dundee"", ""MLSMR""]",2.42,O=C(Nc1cc[nH]n1)c1cccc(Oc2ccc(C(=O)N3CCC3)nc2)c1,1,TRUE,FALSE,
CHEMBL1165653,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL1165653,CHEMBL1165653,TRUE,FALSE,P1,≥7.5（EC50 ≤ 32 nM）,7.58,26.0,activation,CC(C)c1csc(NC(=O)[C@H](CC2CCOCC2)c2ccc(S(=O)(=O)C3CC3)cc2)n1,BPQYAGOLJHAJOW-HXUWFJFHSA-N,462.64,462.64,4.74,6,1,85.36,8,0,2,31,0.61,C23H30N2O4S2,0,,2.85,O=C(Nc1nccs1)C(CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,15,TRUE,FALSE,
CHEMBL572840,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL572840,CHEMBL572840,TRUE,FALSE,P1,≥7.5（EC50 ≤ 32 nM）,7.58,10.0,activation,Cc1cccc(C#N)c1Oc1ccc2ncnc(Nc3ccn(C)n3)c2c1,LXXVOFSEARSYCJ-UHFFFAOYSA-N,356.39,356.39,4.08,7,1,88.65,4,0,4,27,0.59,C20H16N6O,0,,3.92,c1ccc(Oc2ccc3ncnc(Nc4cc[nH]n4)c3c2)cc1,10,TRUE,FALSE,
CHEMBL4079100,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL4079100,CHEMBL4079100,TRUE,FALSE,P1,≥7.5（EC50 ≤ 32 nM）,7.56,27.7,activation,Cc1ccc(Sc2ccc(Sc3nnc[nH]3)nc2C(=O)Nc2ncns2)cn1,JADPOZIPXGRFTI-UHFFFAOYSA-N,428.53,428.53,3.31,10,2,122.23,6,0,4,28,0.48,C16H12N8OS3,0,,4.25,O=C(Nc1ncns1)c1nc(Sc2nnc[nH]2)ccc1Sc1cccnc1,1,TRUE,FALSE,
CHEMBL2022798,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL2022798,CHEMBL2022798,TRUE,FALSE,P1,≥7.5（EC50 ≤ 32 nM）,7.55,28.3,activation,CC(C)=CCOc1cc(Oc2ccc(S(=O)(=O)C3CC3)cc2)cc(C(=O)Nc2nccs2)c1,DXVPBLVBEAAZRB-UHFFFAOYSA-N,484.6,484.6,5.47,7,1,94.59,9,1,3,33,0.4,C24H24N2O5S2,1,"[""Dundee""]",2.08,O=C(Nc1nccs1)c1cccc(Oc2ccc(S(=O)(=O)C3CC3)cc2)c1,3,TRUE,FALSE,
CHEMBL5076695,,,,Unknown,MOL,activity,TRUE,,,,CHEMBL5076695,CHEMBL5076695,TRUE,FALSE,P1,≥7.5（EC50 ≤ 32 nM）,7.55,28.0,activation,CCOP(=O)(Cn1ccc(NC(=O)c2cc(Oc3ccc(S(=O)(=O)CC)cc3)cc(OC(C)C)c2)n1)OCC,ZLEHPGWPTWVVKN-UHFFFAOYSA-N,579.61,579.61,5.73,10,1,135.05,14,2,3,39,0.24,C26H34N3O8PS,2,"[""Dundee"", ""MLSMR""]",1.82,O=C(Nc1cc[nH]n1)c1cccc(Oc2ccccc2)c1,12,TRUE,FALSE,
CHEMBL4101417,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL4101417,CHEMBL4101417,TRUE,FALSE,P1,≥7.5（EC50 ≤ 32 nM）,7.51,31.0,activation,O=C(Nc1ncc(Cl)s1)[C@H](CC1CCOCC1)n1ncc2c(S(=O)(=O)C3CC3)cccc21,AMNCFZVGAPBFJS-KRWDZBQOSA-N,495.03,495.03,4.08,8,1,103.18,7,0,3,32,0.53,C21H23ClN4O4S2,0,,3.43,O=C(Nc1nccs1)C(CC1CCOCC1)n1ncc2c(S(=O)(=O)C3CC3)cccc21,8,TRUE,FALSE,
CHEMBL596026,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL596026,CHEMBL596026,TRUE,FALSE,P1,7.0–7.5（32–100 nM）,7.375,20.0,activation,CCS(=O)(=O)c1ccc(Oc2cc3nc(-c4ccccn4)[nH]c3cc2CN2C(=O)COC2=O)cc1,HRYYRMWFRRSPFD-UHFFFAOYSA-N,492.51,492.51,3.69,8,1,131.55,7,0,4,35,0.41,C24H20N4O6S,0,,4.01,O=C1COC(=O)N1Cc1cc2[nH]c(-c3ccccn3)nc2cc1Oc1ccccc1,1,TRUE,FALSE,
CHEMBL2023054,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL2023054,CHEMBL2023054,TRUE,FALSE,P1,7.0–7.5（32–100 nM）,7.35,44.8,activation,CC(C)=CCOc1cc(Oc2ccc(S(=O)(=O)N3CC[C@H](F)C3)cc2)cc(C(=O)Nc2ncc(F)s2)c1,UCEWQSGJSJZKKB-SFHVURJKSA-N,549.62,549.62,5.4,7,1,97.83,9,2,3,37,0.36,C25H25F2N3O5S2,2,"[""Dundee"", ""MLSMR""]",1.95,O=C(Nc1nccs1)c1cccc(Oc2ccc(S(=O)(=O)N3CCCC3)cc2)c1,2,TRUE,FALSE,
CHEMBL2023432,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL2023432,CHEMBL2023432,TRUE,FALSE,P1,7.0–7.5（32–100 nM）,7.35,44.8,activation,CC(C)=CCOc1cc(Oc2ccc(S(=O)(=O)N3C[C@@H](C)O[C@@H](C)C3)cc2)cc(C(=O)Nc2cc(C)n(C)n2)c1,BDKQYGBLMIUIPE-SZPZYZBQSA-N,568.7,568.7,4.92,8,1,111.99,9,1,3,40,0.36,C29H36N4O6S,2,"[""Dundee"", ""MLSMR""]",2.43,O=C(Nc1cc[nH]n1)c1cccc(Oc2ccc(S(=O)(=O)N3CCOCC3)cc2)c1,4,TRUE,FALSE,
CHEMBL584378,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL584378,CHEMBL584378,TRUE,FALSE,P1,7.0–7.5（32–100 nM）,7.33,20.0,activation,Cn1ccc(Nc2ncnc3ccc(Oc4ncccc4Br)cc23)n1,MEUYOPBFTQWYFU-UHFFFAOYSA-N,397.24,397.24,4.06,7,1,77.75,4,0,4,25,0.56,C17H13BrN6O,0,,3.64,c1ccc(Oc2ccc3ncnc(Nc4cc[nH]n4)c3c2)nc1,6,TRUE,FALSE,
CHEMBL2022800,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL2022800,CHEMBL2022800,TRUE,FALSE,P1,7.0–7.5（32–100 nM）,7.32,48.0,activation,CC(C)=CCOc1cc(Oc2ccc(S(=O)(=O)N3CCOCC3)cc2)cc(C(=O)Nc2nccs2)c1,FTAUVKBULYPEQD-UHFFFAOYSA-N,529.64,529.64,4.55,8,1,107.06,9,1,3,36,0.41,C25H27N3O6S2,2,"[""Dundee"", ""MLSMR""]",2.77,O=C(Nc1nccs1)c1cccc(Oc2ccc(S(=O)(=O)N3CCOCC3)cc2)c1,4,TRUE,FALSE,
CHEMBL5083525,,,,Unknown,MOL,activity,TRUE,,,,CHEMBL5083525,CHEMBL5083525,TRUE,FALSE,P1,7.0–7.5（32–100 nM）,7.31,49.0,activation,CCOP(=O)(Cn1ncc(NC(=O)c2cc(Oc3ccc(S(C)(=O)=O)cc3)cc(O[C@@H](C)COC)c2)n1)OCC,MVWDHZCMNWLIMU-SFHVURJKSA-N,596.6,596.6,4.36,12,1,157.17,15,2,3,40,0.25,C25H33N4O9PS,2,"[""Dundee"", ""MLSMR""]",2.95,O=C(Nc1cn[nH]n1)c1cccc(Oc2ccccc2)c1,1,TRUE,FALSE,
CHEMBL1165284,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL1165284,CHEMBL1165284,TRUE,FALSE,P1,7.0–7.5（32–100 nM）,7.21,61.0,activation,O=C(Nc1nc2c(s1)CCCC2)C(CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,ZNVQMTZHVCRFNC-UHFFFAOYSA-N,474.65,474.65,4.5,6,1,85.36,7,0,2,32,0.64,C24H30N2O4S2,0,,2.71,O=C(Nc1nc2c(s1)CCCC2)C(CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,2,TRUE,FALSE,
