patent_id,patent_number,country,publication_date,family_id,title,surface_forms,n_mentions,hit_clms
6242265,EP-0979092-A2,EP,2000-02-16,21932148,ALLELIC POLYGENE DIAGNOSIS OF REWARD DEFICIENCY SYNDROME AND TREATMENT,"[""glucokinase regulatory protein""]",1,
5668236,EP-1066309-A1,EP,2001-01-10,26763735,LIBRARIES OF EXPRESSIBLE GENE SEQUENCES,"[""Glucokinase regulator""]",1,
5667897,EP-1066404-A1,EP,2001-01-10,21994497,METHODS FOR PRODUCING LIBRARIES OF EXPRESSIBLE GENE SEQUENCES,"[""Glucokinase regulator""]",1,
5845051,EP-1158972-A1,EP,2001-12-05,22363061,TREATMENT OF HYPERTENSION WITH COMPOUNDS THAT INHIBIT THE DESTRUCTION OF ENKEPHALINS OR ENDORPHINS,"[""glucokinase regulatory protein""]",1,
5299106,EP-1218742-A1,EP,2002-07-03,10860872,SPA IN A SCREENING METHOD FOR MODULATORS OF GLUCOKINASE,"[""glucokinase regulatory protein""]",1,
5363227,EP-1248798-A2,EP,2002-10-16,26846790,HUMAN DNA SEQUENCES,"[""glucokinase regulatory protein""]",1,
4036515,EP-1549626-A1,EP,2005-07-06,32469191,SUBSTITUTED (THIAZOL-2-YL) -AMIDE OR SULFONAMIDE AS GLYCOKINASE ACTIVATORS USEFUL IN THE TREATMENT OF TYPE 2 DIABETES,"[""GKRP""]",6,
2345640,EP-1576374-B1,EP,2008-08-06,34066592,ENZYME ARRAY AND ASSAY,"[""Glucokinase regulator"", ""glucokinase regulatory protein""]",2,
3923274,EP-1578393-A2,EP,2005-09-28,27739584,PRIMARY RAT HEPATOCYTE TOXICITY MODELING,"[""glucokinase regulatory protein""]",4,
3491549,EP-1696897-A1,EP,2006-09-06,34742984,COMPOSITIONS AND METHODS FOR TREATING DIABETES,"[""GKRP"", ""glucokinase regulatory protein""]",2,
540474,EP-1696897-B1,EP,2011-07-06,34742984,COMPOSITIONS  FOR TREATING DIABETES,"[""GKRP"", ""glucokinase regulatory protein""]",2,
3473216,EP-1735322-A1,EP,2006-12-27,34963913,SULFONAMIDE-THIAZOLPYRIDINE DERIVATIVES AS GLUCOKINASE ACTIVATORS USEFUL THE TREATMENT OF TYPE 2 DIABETES,"[""GKRP""]",6,
634003,EP-1735322-B1,EP,2011-09-14,34963913,SULFONAMIDE-THIAZOLPYRIDINE DERIVATIVES AS GLUCOKINASE ACTIVATORS USEFUL  FOR THE TREATMENT OF TYPE 2 DIABETES,"[""GKRP""]",6,
2854816,EP-1737870-A1,EP,2007-01-03,34966970,"THIAZOLOPYRIDINE DERIVATES, PHARMACEUTICAL CONDITIONS CONTAINING THEM AND METHODS OF TREATING GLUCOKINASE MEDIATED CONDITIONS","[""GKRP""]",6,
3001963,EP-1758611-A2,EP,2007-03-07,34993345,USE OF LIVER-SELECTIVE GLUCOKINASE ACTIVATORS,"[""GKRP"", ""glucokinase regulatory protein""]",5,
2445881,EP-1907004-A2,EP,2008-04-09,37605108,COMBINATION OF A RENIN INHIBITOR AND AN INSULIN SECRETION ENHANCER OR AN INSULIN SENSITIZER,"[""glucokinase regulatory protein""]",1,
2029713,EP-1934180-A2,EP,2008-06-25,37714273,3-CYCLYL-2-(4-SULFAMOYL-PHENYL)-N-CYCLYL-PROPIONAMIDE DERIVATIVES USEFUL IN THE TREATMENT OF IMPAIRED GLUCOSE TOLERANCE AND DIABETES,"[""GKRP""]",7,
10589571,EP-1934180-B1,EP,2012-12-05,37714273,3-CYCLYL-2-(4-SULFAMOYL-PHENYL)-N-CYCLYL-PROPIONAMIDE DERIVATIVES USEFUL IN THE TREATMENT OF IMPAIRED GLUCOSE TOLERANCE AND DIABETES,"[""GKRP""]",7,
2030570,EP-1934233-A1,EP,2008-06-25,37606931,SULFONAMIDE DERIVATIVES AS GLYCOKINASE ACTIVATORS USEFUL IN THE TREATMENT OF TYPE 2 DIABETES,"[""GKRP""]",7,
1267663,EP-1934233-B1,EP,2012-05-16,37606931,SULFONAMIDE DERIVATIVES AS GLYCOKINASE ACTIVATORS USEFUL IN THE TREATMENT OF TYPE 2 DIABETES,"[""GKRP""]",7,
1925374,EP-1957644-A2,EP,2008-08-20,38001974,ENZYMATIC ENCODING METHODS FOR EFFICIENT SYNTHESIS OF LARGE LIBRARIES,"[""Glucokinase regulator"", ""glucokinase regulatory protein""]",3,
1153291,EP-1957644-B1,EP,2010-12-01,38001974,ENZYMATIC ENCODING METHODS FOR EFFICIENT SYNTHESIS OF LARGE LIBRARIES,"[""Glucokinase regulator"", ""glucokinase regulatory protein""]",3,
2008725,EP-1990425-A1,EP,2008-11-12,38926418,Diagnostic of immune graft tolerance,"[""GKRP""]",1,
1538676,EP-2031073-A1,EP,2009-03-04,38925557,Diagnostic of immune graft tolerance using TMTC3 gene expression levels,"[""GKRP""]",1,
1500865,EP-2059522-A2,EP,2009-05-20,38720453,PHOSPHONATE AND PHOSPHINATE COMPOUNDS AS GLUCOKINASE ACTIVATORS,"[""glucokinase regulatory protein""]",1,
13234377,EP-2059522-B1,EP,2014-01-08,38720453,PHOSPHONATE AND PHOSPHINATE COMPOUNDS AS GLUCOKINASE ACTIVATORS,"[""glucokinase regulatory protein""]",1,
1372150,EP-2111865-A1,EP,2009-10-28,39401439,UTILIZATION OF THE FUNCTION OF RARE SUGAR AS PROMOTER FOR THE MIGRATION OF GLUCOKINASE FROM NUCLEUS TO CYTOPLASM,"[""glucokinase regulatory protein""]",20,
21349452,EP-2111865-B1,EP,2019-10-02,39401439,UTILIZATION OF THE FUNCTION OF RARE SUGAR AS PROMOTER FOR THE MIGRATION OF GLUCOKINASE FROM NUCLEUS TO CYTOPLASM,"[""glucokinase regulatory protein""]",20,
1786936,EP-2118131-A1,EP,2009-11-18,39313161,GLUCAGON-LIKE PROTEIN-1 RECEPTOR (GLP-1R) AGONIST COMPOUNDS,"[""glucokinase regulatory protein""]",1,
1841971,EP-2125735-A2,EP,2009-12-02,39636932,"2,2,2-TRI-SUBSTITUTED ACETAMIDE DERIVATIVES AS GLUCOKINASE ACTIVATORS, THEIR PROCESS AND PHARMACEUTICAL APPLICATION","[""GKRP"", ""glucokinase regulatory protein""]",4,
